"GeneID","genename","AUG_Hairpin","Rmotif","TranslationCat","Ribo_Mock_RPKM_AVG","Ribo_IC_RPKM_AVG","RNA_Mock_RPKM_AVG","RNA_IC_RPKM_AVG","RNAlog2fc","RNA_adjp","Ribolog2fc","Ribo_adjp","TE_Mock","TE_IC","log2_TEfc","Direction"
"AT1G19050","ARR7",1,"TRUE","Non DTG",4.461516477,5.540199789,25.81550257,24.27149645,0.142111023,0.906248061,0.524953436,0.859996219,0.17282315,0.228259506,0.40137846,0.074601669817325
"AT1G19120","LSM1A",1,"FALSE","Non DTG",2.845690404,2.566038689,8.27669836,12.91774783,0.22552526,0.881080612,0.316429487,0.95584419,0.343819514,0.198644433,-0.791463068,0.0713628423273416
"AT1G19350","BES1",1,"FALSE","Non DTG",7.339639126,2.326878819,21.93102774,19.59649155,0.156799701,0.923851866,-1.178988808,0.197386167,0.334669183,0.118739562,-1.494935015,-0.184865092576746
"AT1G19380",NA,1,"TRUE","Non DTG",88.77652863,102.5822384,391.5422206,556.0593236,0.641074598,6.85474e-07,0.387659117,0.538203091,0.226735519,0.184480745,-0.297540167,0.24851841259181
"AT1G19440","KCS4",1,"TRUE","Non DTG",2.358993107,2.789518213,10.02892643,5.560327546,-0.305539087,0.915784563,0.374403558,0.923119093,0.235218906,0.501682354,1.092770169,-0.114394921280872
"AT1G19450",NA,1,"FALSE","Non DTG",18.85789212,24.65370551,36.45290441,32.0880646,-0.012913989,0.990001729,0.432987779,0.464804964,0.517322074,0.768313883,0.57063307,-0.00559159941514043
"AT1G19570","ATDHAR1",1,"FALSE","Exclusive",14.18657012,5.721578794,58.31484289,27.60267655,-0.65433024,0.052093697,-1.451820408,0.013292701,0.243275458,0.207283478,-0.230985661,0.949969996003538
"AT1G19720",NA,1,"TRUE","Non DTG",8.929333776,10.27413303,10.20188166,6.33197532,-0.526178034,0.333347558,0.18332291,0.922062997,0.875263415,1.622579449,0.890499948,-0.0964604883709589
"AT1G19800","ABCI14",1,"TRUE","Non DTG",3.826129165,2.521702227,11.09458084,9.487177853,-0.154275111,0.881080612,-0.227715309,0.970346925,0.344864689,0.265801091,-0.375683387,0.0351308045723743
"AT1G19835","TCS1",1,"FALSE","Non DTG",6.39913397,6.190093354,9.198424639,10.76482261,0.338197936,0.53747118,0.022182264,0.993889967,0.695677164,0.57502976,-0.274781343,0.0075019959006071
"AT1G19870","IQD32",1,"TRUE","Non DTG",2.406429072,2.072407016,3.58119358,4.327906106,0.320514202,0.726497377,-0.311677218,0.937980091,0.671962858,0.478847499,-0.488815224,-0.09989697480885
"AT1G19910","ATVHA-C2",1,"TRUE","Non DTG",8.210973691,10.00306758,90.25461839,92.26485238,-0.027518846,0.9709843,0.021467368,0.996628465,0.090975662,0.108416882,0.253036862,-0.000590757194017328
"AT1G20010","TUB5",1,"TRUE","Non DTG",8.933062287,8.663911203,28.41584032,33.65772259,0.260213096,0.348242365,0.161693674,0.957926244,0.314369105,0.257412283,-0.288378547,0.0420748115151547
"AT1G20020","ATLFNR2",1,"TRUE","Non DTG",77.32225316,78.54386957,139.7609258,119.6286706,-0.101685882,0.619083926,0.086525559,0.949357573,0.553246572,0.656563925,0.247012876,-0.00879842778245804
"AT1G20260","AtVAB3",1,"TRUE","Non DTG",10.05332758,8.617459465,23.00297495,23.44814198,0.169795011,0.810849568,0.012008531,0.996883172,0.437044669,0.367511399,-0.249991742,0.00203898865323884
"AT1G20340","DRT112",1,"TRUE","Non DTG",781.2163141,720.7643651,4465.342734,3795.805154,-0.151769837,0.037554926,0.058931877,0.927853099,0.174951031,0.189884448,0.118170583,-0.00894408136639405
"AT1G20440","AtCOR47",1,"TRUE","Non DTG",77.13356013,47.51169922,385.6386694,231.6597217,-0.639643196,2.14025e-16,-0.587837755,0.094744584,0.200015108,0.20509262,0.0361666,0.376006420337665
"AT1G20450","ERD10",1,"TRUE","Non DTG",84.58383434,62.94358326,442.5456493,320.9581503,-0.416310664,4.9601e-05,-0.098423277,0.942837015,0.191130191,0.196111497,0.037118432,0.0409746598009259
"AT1G20696","HMGB3",1,"TRUE","Non DTG",3.68325089,3.339049724,24.43280607,19.80384306,-0.475151505,0.459543525,-0.084642639,0.988076608,0.15075022,0.16860615,0.161497049,0.0402180773080217
"AT1G20850","XCP2",1,"FALSE","Non DTG",6.264727295,5.44312118,12.89648517,11.95732114,0.087782524,0.94925199,0.010042201,0.997778221,0.485770131,0.455212427,-0.093733843,0.000881529750295324
"AT1G20950",NA,1,"TRUE","Non DTG",6.273608389,6.330126608,10.06323582,9.113354535,-0.013123776,0.995656605,-0.017716226,0.996883172,0.6234186,0.694598963,0.155979057,0.000232503781589376
"AT1G20970",NA,1,"TRUE","Non DTG",7.569889053,5.746754723,11.27431881,6.375142211,-0.751580282,0.051958533,-0.318855129,0.777333771,0.67142762,0.901431612,0.424986159,0.239645227770966
"AT1G20980","ATSPL14",1,"FALSE","Non DTG",11.03396451,14.61783216,22.05380732,23.52437622,0.21480662,0.410635344,0.392059852,0.573125834,0.500320164,0.621390851,0.312649402,0.0842170516458202
"AT1G21380","TOL3",1,"TRUE","Buffered_S",5.784849075,5.170749006,15.9140089,22.58478827,0.779444932,0.020182958,-0.029578878,0.993889967,0.363506713,0.228948306,-0.666960121,-0.0230551065513463
"AT1G21440",NA,1,"TRUE","Non DTG",4.634475891,3.078797311,7.406717106,11.02509311,0.792828197,0.219674203,-0.186047352,0.97421589,0.625712556,0.279253634,-1.163924002,-0.147503586642784
"AT1G21450","SCL1",1,"TRUE","Forwarded",5.092102886,9.931233948,9.567354209,17.58580401,0.994326173,0.000511503,1.024926115,0.035811031,0.532237312,0.564730162,0.085492035,1.01911086153571
"AT1G21660","AUXILIN-LIKE3",1,"FALSE","Non DTG",3.36515996,2.826348956,7.954874553,6.156271164,-0.221389893,0.883739504,0.125213102,0.982744851,0.423031179,0.45910079,0.118046916,-0.0277209152539781
"AT1G22450","ATCOX6B2",1,"TRUE","Non DTG",8.161566663,6.154143126,31.75898571,24.01723334,-0.256622421,0.608597674,-0.238645303,0.96282239,0.256984487,0.256238637,-0.004193248,0.0612417354161386
"AT1G22590","AGL87",1,"TRUE","Non DTG",5.540195603,2.858461276,18.35576916,7.227473532,-1.039188125,0.19753115,-0.067501797,0.993235243,0.301823125,0.395499377,0.389972076,0.0701470658585606
"AT1G22740","ATRABG3B",1,"TRUE","Non DTG",5.481902968,3.910226244,10.99072133,8.838398384,-0.425384982,0.787180678,-0.1140107,0.987703677,0.49877554,0.442413441,-0.1729955,0.0484984395673074
"AT1G22770","FB",1,"FALSE","Non DTG",2.943919918,3.47424134,4.397199609,4.296944515,0.051722763,0.982707503,0.255382067,0.936826375,0.669498813,0.808537631,0.272233425,0.0132090661258911
"AT1G22930",NA,1,"FALSE","Non DTG",11.03030105,13.04772864,17.88692842,20.4877344,0.240746945,0.338331372,0.192411428,0.884093298,0.616668261,0.636855613,0.046471727,0.0463224634740875
"AT1G23030","PUB11",1,"TRUE","Non DTG",3.339343154,2.009808576,8.22456372,3.973582847,-0.979369689,0.118725838,-0.540740693,0.846162176,0.406020704,0.505792544,0.316992473,0.529585044333055
"AT1G23400","ATCAF2",1,"TRUE","Non DTG",6.211045432,2.98081847,10.88479765,7.626622774,-0.289056403,0.630302686,-0.818296049,0.622409202,0.570616527,0.390843832,-0.545929263,0.236533712513052
"AT1G23490","ARF1",1,"TRUE","Non DTG",30.07743784,20.85642233,183.0226027,155.1883654,-0.026740732,0.970907841,-0.385830391,0.668084604,0.164337286,0.134394239,-0.290188548,0.0103173870831862
"AT1G24100","UGT74B1",1,"FALSE","Non DTG",5.005285696,5.695990019,13.98180643,10.85602333,-0.150484849,0.903093181,0.150284735,0.97421589,0.357985624,0.524684762,0.55154924,-0.02261557565348
"AT1G24120","ARL1",1,"TRUE","Non DTG",2.325721012,4.118520197,6.468104931,6.459948091,0.195750494,0.926343682,0.660384116,0.810154012,0.359567607,0.637546949,0.82626853,0.129270516936753
"AT1G24170","GATL8",1,"TRUE","Non DTG",7.613435293,7.735056917,14.50474646,11.73111319,0.016743817,0.993625042,-0.226592772,0.938843949,0.524892683,0.659362568,0.329049499,-0.00379402790789072
"AT1G24360","KR",1,"TRUE","Non DTG",14.11704381,9.886460043,39.75230438,33.07973556,-0.270342733,0.471653826,-0.082342394,0.987703677,0.355125169,0.298867566,-0.248821274,0.0222606678357228
"AT1G24510","CCT5",1,"TRUE","Non DTG",14.85708126,14.61345363,31.95343486,27.7952195,-0.12260773,0.922141838,-0.042827652,0.989705056,0.464960381,0.525754209,0.177280703,0.00525100119294996
"AT1G24560","MTV9",1,"TRUE","Non DTG",3.4545317,3.661736755,3.050546767,2.59812434,-0.193473825,0.904617798,0.222708503,0.95584419,1.132430336,1.409377026,0.3156353,-0.043088265935434
"AT1G25260","RDP",1,"TRUE","Non DTG",6.18836609,3.274820654,17.9661681,11.15257091,-0.138869269,0.92410538,-0.632179679,0.814690997,0.344445519,0.293638183,-0.23023623,0.0877903298993847
"AT1G25275",NA,1,"FALSE","Non DTG",27.51553012,38.13303683,354.7795747,504.2368934,0.554771369,0.020372448,0.942397364,0.241867267,0.077556692,0.075625241,-0.036383421,0.522815075768271
"AT1G25490","ATB",1,"TRUE","Non DTG",8.763147267,11.85711458,17.73492675,11.48199694,-0.545023658,0.289049066,0.335451862,0.837427463,0.494118041,1.032670069,1.06345176,-0.182829200910151
"AT1G25520","PML4",1,"TRUE","Non DTG",2.696303944,1.281254049,8.815577528,2.355968736,-1.161261638,0.270034291,-1.075199816,0.498044092,0.305856756,0.543833214,0.830308121,1.24858829950546
"AT1G25540","MED25",1,"TRUE","Non DTG",2.599095908,1.681752319,2.77237663,5.660473345,0.854510357,0.205423356,-0.585197332,0.813609979,0.937497409,0.297104538,-1.657844062,-0.500057181082768
"AT1G27000",NA,1,"TRUE","Non DTG",5.590968513,3.110591545,11.3429558,14.9666662,0.323110561,0.815253238,-0.665396554,0.758540086,0.492902257,0.207834631,-1.24586552,-0.214996653850407
"AT1G27020",NA,1,"FALSE","Non DTG",2.460500028,5.452428126,10.60444842,22.34752575,0.800882539,0.129614053,0.715916283,0.737099472,0.232025272,0.243983526,0.072501787,0.573364850440482
"AT1G27320","AHK3",1,"TRUE","Non DTG",5.038454627,4.349629326,7.210372029,5.998168923,-0.24051767,0.747298305,-0.250094846,0.915554809,0.698778733,0.725159525,0.053462702,0.0601522296389288
"AT1G27390","TOM20-2",1,"TRUE","Non DTG",7.009164811,2.236696175,12.87493448,13.38757001,0.248175131,0.845194792,-0.504589205,0.877055808,0.544403921,0.167072603,-1.704202278,-0.125226492052061
"AT1G27950","LTPG1",1,"FALSE","Non DTG",39.92936624,32.98823165,183.3010552,142.9687619,-0.258427975,0.876974496,-0.306195333,0.833374929,0.217834896,0.230737339,0.083016403,0.0791294398616407
"AT1G28140",NA,1,"TRUE","Non DTG",7.589845979,6.209073113,27.67251506,26.90246414,-0.114496426,0.95726607,0.018963506,0.996883172,0.274273804,0.23079942,-0.24897724,-0.00217125366142956
